n_estimators,accuracy,f1_score,recall,roc_auc,,,accuracy,f1_score,recall,roc_auc
277,0.983492615,0.912844037,0.865217391,0.989216468,,,,,,
278,0.983492615,0.912844037,0.865217391,0.989205976,,,,,,
279,0.983492615,0.912844037,0.865217391,0.989205976,,,,,,
280,0.983492615,0.912844037,0.865217391,0.989203878,,,,,,
281,0.983492615,0.912844037,0.865217391,0.989164009,,,,,,
282,0.983492615,0.912844037,0.865217391,0.989184992,,,,,,
283,0.983492615,0.912844037,0.865217391,0.989193386,,,,,,
284,0.983492615,0.912844037,0.865217391,0.989157714,,,,,,
285,0.983492615,0.912844037,0.865217391,0.98912414,,,,,,
286,0.983492615,0.912844037,0.865217391,0.989084271,,,,,,
287,0.983492615,0.912844037,0.865217391,0.989073779,,,,,,
288,0.983492615,0.912844037,0.865217391,0.989021319,,,,,,
289,0.983492615,0.912844037,0.865217391,0.98898145,,,,,,
290,0.983492615,0.912844037,0.865217391,0.98898145,,,,,,
291,0.983492615,0.912844037,0.865217391,0.988989844,,,,,,
292,0.98392702,0.915331808,0.869565217,0.988994041,,,,,,
293,0.983492615,0.912844037,0.865217391,0.988989844,,,,,,
294,0.98392702,0.915331808,0.869565217,0.988985647,,,,,,
295,0.983492615,0.912844037,0.865217391,0.988979352,,,,,,
296,0.983492615,0.912844037,0.865217391,0.98896886,,,,,,
297,0.983492615,0.912844037,0.865217391,0.988958368,,,,,,
298,0.983492615,0.912844037,0.865217391,0.988935286,,,,,,
299,0.983492615,0.912844037,0.865217391,0.988893319,,,,,,
300,0.983492615,0.912844037,0.865217391,0.98889122,,,,,,
301,0.983492615,0.912844037,0.865217391,0.988889122,,,,,,
302,0.983492615,0.912844037,0.865217391,0.988857646,,,,,,
303,0.983492615,0.912844037,0.865217391,0.98885345,,,,,,
304,0.983492615,0.912844037,0.865217391,0.988821974,,,,,,
305,0.98392702,0.915331808,0.869565217,0.988813581,,,,,,
306,0.983492615,0.912844037,0.865217391,0.988811482,,,,,,
307,0.98392702,0.915331808,0.869565217,0.988876532,,,,,,
308,0.983492615,0.912844037,0.865217391,0.988859745,,,,,,
309,0.983492615,0.912844037,0.865217391,0.988849253,,,,,,
310,0.983492615,0.912844037,0.865217391,0.988821974,,,,,,
311,0.983492615,0.912844037,0.865217391,0.988868138,,,,,,
312,0.983492615,0.912844037,0.865217391,0.988849253,,,,,,
313,0.983492615,0.912844037,0.865217391,0.988838761,,,,,,
314,0.983492615,0.912844037,0.865217391,0.988838761,,,,,,
315,0.983492615,0.912844037,0.865217391,0.988905909,,,,,,
316,0.983492615,0.912844037,0.865217391,0.988868138,,,,,,
