n_estimators,learning_rate,train_ratio,val_ratio,test_ratio,train_auc,train_logloss,train_accuracy,train_precision,train_recall,train_f1,val_auc,val_logloss,val_accuracy,val_precision,val_recall,val_f1,test_auc,test_logloss,test_accuracy,test_precision,test_recall,test_f1,split_label,overfit_auc
385,0.06,0.6,0.2,0.2,1.0,0.0009191368489667348,1.0,1.0,1.0,1.0,0.9821651917958941,0.08167483578465112,0.9837133550488599,0.9387755102040817,0.8961038961038961,0.9169435215946844,0.9792429272722113,0.08647404113208439,0.9817589576547231,0.9370629370629371,0.8758169934640523,0.9054054054054054,60/20/20,0.01783480820410588
285,0.075,0.6,0.2,0.2,1.0,0.0013980913083494705,1.0,1.0,1.0,1.0,0.9842811062941403,0.07705555528696797,0.9837133550488599,0.9387755102040817,0.8961038961038961,0.9169435215946844,0.9797726133386303,0.0813681887405188,0.9824104234527687,0.9436619718309859,0.8758169934640523,0.9084745762711864,60/20/20,0.01571889370585966
275,0.075,0.6,0.2,0.2,1.0,0.0016087759088079998,1.0,1.0,1.0,1.0,0.9845021018084016,0.07563675134109493,0.9837133550488599,0.9387755102040817,0.8961038961038961,0.9169435215946844,0.9800043509926885,0.08010557118712755,0.9824104234527687,0.9436619718309859,0.8758169934640523,0.9084745762711864,60/20/20,0.015497898191598414
345,0.065,0.6,0.2,0.2,1.0,0.001148848161007277,1.0,1.0,1.0,1.0,0.9803361012629659,0.08091019179771329,0.9837133550488599,0.9387755102040817,0.8961038961038961,0.9169435215946844,0.9805245783793499,0.08396761907753701,0.9830618892508143,0.9440559440559441,0.8823529411764706,0.9121621621621622,60/20/20,0.019663898737034113
295,0.075,0.6,0.2,0.2,1.0,0.0012146555840547885,1.0,1.0,1.0,1.0,0.9844785916473099,0.07768616767900323,0.9837133550488599,0.9387755102040817,0.8961038961038961,0.9169435215946844,0.9793138673703925,0.08310688850979916,0.9824104234527687,0.9436619718309859,0.8758169934640523,0.9084745762711864,60/20/20,0.015521408352690114
325,0.065,0.6,0.2,0.2,1.0,0.001474985909305243,1.0,1.0,1.0,1.0,0.9803878236173674,0.07868064641692878,0.9837133550488599,0.9387755102040817,0.8961038961038961,0.9169435215946844,0.9805387663989862,0.08197341633321878,0.9830618892508143,0.9440559440559441,0.8823529411764706,0.9121621621621622,60/20/20,0.019612176382632573
385,0.09,0.6,0.2,0.2,1.0,9.276737707001971e-05,1.0,1.0,1.0,1.0,0.9820664491193094,0.10665885292914501,0.9837133550488599,0.951048951048951,0.8831168831168831,0.9158249158249159,0.9775309062361075,0.11267791801546151,0.9830618892508143,0.9440559440559441,0.8823529411764706,0.9121621621621622,60/20/20,0.017933550880690596
155,0.0234,0.8,0.1,0.1,0.9991286623135227,0.06644708724460578,0.9882659713168188,0.9129770992366413,0.9755301794453507,0.943217665615142,0.9816189599112899,0.08365702015499382,0.9830729166666666,0.9210526315789473,0.9090909090909091,0.9150326797385621,0.985622192568647,0.09135483882985923,0.9778645833333334,0.8658536585365854,0.922077922077922,0.8930817610062893,80/10/10,0.01750970240223282
85,0.0379,0.8,0.1,0.1,0.9986783727192736,0.07692686603836162,0.988102998696219,0.9128440366972477,0.9738988580750407,0.9423835832675612,0.979062905256827,0.09141940259094372,0.9830729166666666,0.9210526315789473,0.9090909090909091,0.9150326797385621,0.9886856992500985,0.0975360113978413,0.9778645833333334,0.875,0.9090909090909091,0.89171974522293,80/10/10,0.01961546746244658
385,0.007,0.8,0.1,0.1,0.9972967855909692,0.09848533989516782,0.9871251629726207,0.9057750759878419,0.9722675367047309,0.937844217151849,0.9813464393782773,0.1083783735533798,0.9830729166666666,0.9210526315789473,0.9090909090909091,0.9150326797385621,0.9871445486496138,0.11776596311561416,0.9791666666666666,0.8765432098765432,0.922077922077922,0.8987341772151899,80/10/10,0.01595034621269198
