n_estimators,learning_rate,val_auc,test_accuracy,test_f1,test_recall,test_auc
390,0.0028,0.9846300996946621,0.9706840390879479,0.8623853211009175,0.9215686274509803,0.9890563075205963
400,0.0028,0.9846963175514107,0.9713355048859935,0.8650306748466258,0.9215686274509803,0.9890468488408388
100,0.0046,0.9844829489018873,0.9641693811074918,0.8377581120943953,0.9281045751633987,0.9873797565335831
110,0.0046,0.9848876135820183,0.9648208469055375,0.8402366863905325,0.9281045751633987,0.9878006677827909
120,0.0046,0.9849023286612958,0.965472312703583,0.8427299703264095,0.9281045751633987,0.9884675047056932
130,0.0046,0.9850715520729867,0.9648208469055375,0.8402366863905325,0.9281045751633987,0.9886141142419341
140,0.0046,0.9845969907662877,0.9661237785016287,0.8452380952380952,0.9281045751633987,0.9885857382026617
150,0.0046,0.9846632086230365,0.9667752442996743,0.8477611940298507,0.9281045751633987,0.9889404386935672
160,0.0046,0.9844682338226098,0.9674267100977199,0.8502994011976048,0.9281045751633987,0.9891106949292018
170,0.0046,0.9844976639811647,0.9680781758957655,0.8528528528528528,0.9281045751633987,0.9891438003083529
180,0.0046,0.9844020159658611,0.968729641693811,0.8554216867469879,0.9281045751633987,0.9890397548310207
190,0.0046,0.9842327925541698,0.9680781758957655,0.851963746223565,0.9215686274509803,0.9888222051965987
200,0.0046,0.9840709266821174,0.968729641693811,0.8545454545454545,0.9215686274509803,0.9886945130198728
210,0.0046,0.9838428429533163,0.9700325732899023,0.8588957055214724,0.9150326797385621,0.9886235729216916
220,0.0046,0.9836736195416254,0.9706840390879479,0.8615384615384616,0.9150326797385621,0.9885668208431466
230,0.0046,0.9835632564470441,0.9706840390879479,0.8615384615384616,0.9150326797385621,0.9885786441928435
240,0.0046,0.9838502004929551,0.971986970684039,0.8668730650154799,0.9150326797385621,0.988498245414905
250,0.0046,0.9842254350145312,0.9732899022801303,0.8722741433021807,0.9150326797385621,0.9884887867351475
260,0.0046,0.9845565242982747,0.9732899022801303,0.8722741433021807,0.9150326797385621,0.9884462226762387
270,0.0046,0.9848213957252695,0.9739413680781759,0.875,0.9150326797385621,0.9885029747547838
280,0.0046,0.9848876135820182,0.9739413680781759,0.875,0.9150326797385621,0.988460410695875
290,0.0046,0.9849979766765993,0.9739413680781759,0.875,0.9150326797385621,0.9882523197412105
300,0.0046,0.9852260604054004,0.9739413680781759,0.875,0.9150326797385621,0.9879685593484862
310,0.0046,0.9849979766765993,0.9739413680781759,0.875,0.9150326797385621,0.9879543713288499
320,0.0046,0.9850126917558768,0.9745928338762215,0.877742946708464,0.9150326797385621,0.9878172204723665
330,0.0046,0.9849832615973219,0.9739413680781759,0.875,0.9150326797385621,0.9876469642367317
340,0.0046,0.9849685465180443,0.9739413680781759,0.875,0.9150326797385621,0.9876233175373381
350,0.0046,0.984975904057683,0.9739413680781759,0.875,0.9150326797385621,0.9877037163152768
360,0.0046,0.9849979766765994,0.9745928338762215,0.877742946708464,0.9150326797385621,0.987826679152124
370,0.0046,0.985093624691903,0.9739413680781759,0.875,0.9150326797385621,0.9880631461460608
380,0.0046,0.9851451274693742,0.9745928338762215,0.877742946708464,0.9150326797385621,0.9881908383227869
390,0.0046,0.985093624691903,0.9745928338762215,0.877742946708464,0.9150326797385621,0.9882996131399979
400,0.0046,0.9851451274693743,0.9745928338762215,0.877742946708464,0.9150326797385621,0.9882996131399979
100,0.0077,0.9858367361954163,0.9667752442996743,0.8477611940298507,0.9281045751633987,0.988926250673931
110,0.0077,0.9854909318323952,0.9667752442996743,0.8468468468468469,0.9215686274509803,0.9887039716996301
120,0.0077,0.9852407754846779,0.9693811074918567,0.8571428571428571,0.9215686274509803,0.9889026039745372
130,0.0077,0.9849170437405732,0.9713355048859935,0.8650306748466258,0.9215686274509803,0.9886093849020554
140,0.0077,0.9845859544568295,0.9726384364820847,0.8695652173913043,0.9150326797385621,0.9883208951694522
150,0.0077,0.9850274068351543,0.9732899022801303,0.8722741433021807,0.9150326797385621,0.9883776472479971
160,0.0077,0.9851304123900967,0.9732899022801303,0.8722741433021807,0.9150326797385621,0.9882877897903011
170,0.0077,0.985034764374793,0.9739413680781759,0.875,0.9150326797385621,0.9881979323326051
180,0.0077,0.9851156973108192,0.9739413680781759,0.875,0.9150326797385621,0.9879378186392743
190,0.0077,0.9849611889784057,0.9739413680781759,0.875,0.9150326797385621,0.9875476480992783
200,0.0077,0.9849464738991281,0.9745928338762215,0.877742946708464,0.9150326797385621,0.9872307823274027
210,0.0077,0.9848728985027407,0.9745928338762215,0.877742946708464,0.9150326797385621,0.9871409248697066
220,0.0077,0.9849906191369606,0.9758957654723127,0.8832807570977917,0.9150326797385621,0.9873442864844926
230,0.0077,0.9851377699297355,0.9758957654723127,0.8832807570977917,0.9150326797385621,0.9878172204723665
240,0.0077,0.9850936246919031,0.9758957654723127,0.8832807570977917,0.9150326797385621,0.9878834312306689
