n_estimators,learning_rate,max_depth,num_leaves,val_auc
200,0.0016,8,50,0.987168558577854
200,0.0016,8,80,0.987168558577854
200,0.0016,10,31,0.9865859927179267
200,0.0016,10,50,0.9860055686442493
200,0.0016,10,80,0.9860184193617477
200,0.0016,12,31,0.9850503319768686
200,0.0016,12,50,0.9830627543371171
200,0.0016,12,80,0.9831612765046048
225,0.0016,8,31,0.9870100663953737
225,0.0016,8,50,0.9870871707003641
225,0.0016,8,80,0.9870871707003641
225,0.0016,10,31,0.986864424930392
225,0.0016,10,50,0.9861640608267296
225,0.0016,10,80,0.9861854786892268
225,0.0016,12,31,0.985191689869351
225,0.0016,12,50,0.9835039623045619
225,0.0016,12,80,0.9836067680445492
250,0.0016,8,31,0.986902977082887
250,0.0016,8,50,0.9869201113728848
250,0.0016,8,80,0.9869201113728848
250,0.0016,10,31,0.9870571856928678
250,0.0016,10,50,0.9862325979867209
250,0.0016,10,80,0.9862840008567144
250,0.0016,12,31,0.9854529877918183
250,0.0016,12,50,0.9834868280145642
250,0.0016,12,80,0.9835467980295567
275,0.0016,8,31,0.9870186335403727
275,0.0016,8,50,0.9869286785178839
275,0.0016,8,80,0.9869286785178839
275,0.0016,10,31,0.9871557078603556
275,0.0016,10,50,0.9863139858642107
275,0.0016,10,80,0.9863482544442065
275,0.0016,12,31,0.9853287641893339
275,0.0016,12,50,0.9835425144570572
275,0.0016,12,80,0.9836110516170486
300,0.0016,8,31,0.9871685585778538
300,0.0016,8,50,0.9869672306703791
300,0.0016,8,80,0.9869672306703791
300,0.0016,10,31,0.9871214392803598
300,0.0016,10,50,0.9864853287641894
300,0.0016,10,80,0.9864767616191903
300,0.0016,12,31,0.9854786892268151
300,0.0016,12,50,0.9837395587920326
300,0.0016,12,80,0.9838380809595202
325,0.0016,8,31,0.9876376097665452
325,0.0016,8,50,0.9876418933390447
325,0.0016,8,80,0.9876418933390447
325,0.0016,10,31,0.9870593274791176
325,0.0016,10,50,0.9865067466266867
325,0.0016,10,80,0.986528164489184
325,0.0016,12,31,0.985551509959306
325,0.0016,12,50,0.9840094238594989
325,0.0016,12,80,0.9841079460269864
